delta,R,Z,p
178.11453648301844,0.3677958679371372,0.13527380047163204,0.8734767206061517
183.50890657781082,0.37921172366402733,0.1438015313642426,0.866059616673982
189.0666503606478,0.3926015230159019,0.15413595587440573,0.8571554777667861
194.7927157608476,0.40432277473106737,0.16347690616622942,0.849186109737998
200.69220056052814,0.41549873299581275,0.17263919712112566,0.8414411544732817
206.77035693304296,0.4285119819249952,0.18362251865328735,0.8322499033539053
213.0325961188687,0.4386953687894605,0.1924536265973207,0.8249325722469675
219.48449324310576,0.44891440530478816,0.20152414329015156,0.8174838405722846
226.13179227888182,0.45852927088773693,0.21024909226083957,0.8103823608528115
232.98041116107674,0.4695301190785602,0.22045853272192684,0.8021509011864523
240.03644705492172,0.48079816832285305,0.2311668786626105,0.7936070189062969
247.30618178416282,0.489994664023016,0.24009477077102828,0.7865533152700849
254.79608742362174,0.49940109464033544,0.24940145332796523,0.7792670712219797
262.5128320611327,0.5074552531687765,0.257510833968587,0.7729732519001896
270.4632857339852,0.5167172867147609,0.26699675438986437,0.7656755565456881
278.6545265451572,0.5237140279993973,0.2742763831233534,0.7601219613444434
287.0938469647852,0.5312966624060318,0.2822761434837889,0.754065425526119
295.7887603224792,0.5385564909651857,0.290043093960734,0.7482313226325515
304.7470074962657,0.5455757348499766,0.29765288245709187,0.7425590502902625
313.97656380410837,0.5520422270486828,0.3047506204448694,0.7373072208136265
323.48564610414866,0.5583231209442014,0.3117247073808733,0.732183065079902
333.2827201099818,0.5652984024865947,0.31956228385389596,0.7264669538052633
343.376507927484,0.5705860284815434,0.32556841589834057,0.7221167743082413
353.775995819899,0.5784771187594623,0.334635776928249,0.7155986764412923
364.49044220809816,0.5847249414934635,0.3419032572045343,0.7104169291044963
375.5293859131363,0.5902565656408002,0.34840281328207223,0.7058145074861845
386.9026546484408,0.5961615352424424,0.3554085761026259,0.7008870190129067
398.62037376919494,0.6028309316491274,0.36340513215295484,0.6953046861460349
410.692975286705,0.607070440978892,0.3685345203103063,0.6917473298534706
423.13120715577605,0.6110846184128048,0.3734244108607232,0.6883730178537284
435.94614284336456,0.6157902763379506,0.3791976644323694,0.6844103157184573
449.149191187027,0.6166396060137832,0.38024440370483364,0.683694291373293
462.75210655194104,0.6206423511564632,0.3851969280490224,0.680316649581639
476.7669992955434,0.62158887233124,0.38637272620602253,0.6795172046039528
491.20634654909543,0.6242387881639836,0.3896740646484387,0.6772775872356692
506.08300332578295,0.6252140242535069,0.3908925761232646,0.6764528193206136
521.4102139652334,0.6264672375495423,0.3924611997229545,0.6753925512623058
537.2016239246418,0.6260789909597874,0.3919749029212254,0.6757210723728049
553.471291927002,0.6273295369092915,0.393542347878826,0.6746627464356784
570.2337024772592,0.6287721067258697,0.39535436219648834,0.6734413548032989
587.5037787575257,0.6319308360317578,0.3993365815277963,0.6707648962810872
605.2968959128414,0.6356437577146138,0.40404298672155453,0.6676154220538374
623.6288947393055,0.6396908241888625,0.40920435055142607,0.6641784932121749
642.5160957867665,0.6436366619673065,0.41426815262841665,0.6608237258862323
661.9753138886272,0.6492919911780894,0.4215800898080081,0.6560094466189228
682.0238731316964,0.656110314503988,0.430480744798522,0.6501964410189797
702.6796222794188,0.6618172798912213,0.438002111962615,0.6453244199548058
723.9609506622119,0.6684363363874188,0.44680713580303444,0.6396672652922882
745.8868045490563,0.6758986019873569,0.45683892016846334,0.6332823408601845
768.4767040149163,0.6825042582562971,0.4658120625379782,0.6276252272563313
791.7507603190064,0.6886620375569952,0.4742554019721521,0.6223482832890997
815.729693809374,0.6953553856925819,0.4835191124116793,0.6166096505551311
840.434852369742,0.7009212778620062,0.4912906377597076,0.6118362254479771
865.8882304250295,0.7064520537603299,0.49907450426218797,0.6070922610928053
892.1124885224745,0.7099686140569688,0.504055432945973,0.604075896221223
919.1309735057888,0.7128176796337575,0.5081090443984541,0.6016321635677044
946.9677393003074,0.7148933194524608,0.511072458197758,0.5998519176176068
975.6475683276351,0.7141986590968644,0.510079724655759,0.6004477064172908
1005.1959935688577,0.712770968710568,0.5080424538366014,0.6016722279254443
1035.6393212959572,0.7119195596321589,0.506829459386847,0.602402495814397
1067.0046544916709,0.7076034002014655,0.5007025719766752,0.6061046779270799
1099.319916978643,0.7027129354702354,0.4938054696771951,0.6102994933013772
1132.6138782793512,0.6968038392014185,0.4855355903258362,0.6153675235948146
1166.9161792289397,0.6914468804800831,0.4780987885256382,0.6199609489286434
1202.2573583637604,0.6833235496790484,0.4669310735459748,0.626923300523251
1238.66887910912,0.6760229631356505,0.45700704668670494,0.6331758782549961
1276.1831577904295,0.6668640359097295,0.4447076423898129,0.6410116532754563
1314.8335924927017,0.6576222002727982,0.43246695829163617,0.6489062937527478
1354.654592794085,0.648869221897538,0.4210312671259164,0.6563695782980712
1395.6816103999065,0.640217898617349,0.4098789577100141,0.66373058474419
1437.9511707044956,0.6317546953858197,0.3991139951420298,0.6709142160327047
1481.500905308889,0.6222117707948448,0.3871474877156564,0.6789909447179678
